# Lexique de traduction des termes de règle -- table d'autorité du projet (LOT-30).
#
# GÉNÉRÉ. Ne pas éditer à la main :
#     python scripts/sourcebook glossaire
#
# Une seule traduction par terme de règle, dans tout le jeu. Ce n'est pas un catalogue
# d'interface -- fr.lang et en.lang font cela ; c'est ce qui empêche « saving throw » de
# devenir « jet de sauvegarde » dans la fiche et « JdS » dans le journal de combat.
#
# Source : Glossaire.pdf (aidedd.org), complété par Basic-Rules-FR.pdf. Provenance `srd`
# pour la totalité du fichier (EX-CNT-001), OGL 1.0a -- inutile de la répéter par ligne.
#
# Plusieurs traductions d'un même terme sont séparées par « / » ; la première est la
# forme retenue, les suivantes sont admises en lecture (check_glossary.py).
anglais;français;catégorie
Feral Instinct;Instinct sauvage;capacité (barbare)
Feral Senses;Sens sauvages;capacité (rôdeur)
fey;fée;type de créature
Fey Ancestry;Ascendance féerique;capacité (elfe, demi-elfe)
Fey Presence;Présence féerique;capacité (occultiste)
Fey Teleportation;Téléportation féerique;don (XGtE)
Fey Touched;Faveur des fées;don (TCoE)
Feywild, the;Féerie, la;plan
fiend;fiélon;type de créature
Fiend, the;Le Fiélon;voie (occultiste)
Fiendish Resilience;Résistance fiélonne;capacité (occultiste)
Fiendish Vigor;Vigueur fiélonne;manifestation occulte
fighter;guerrier;classe
Fighting Initiate;Initié au combat / Combattant de talent;don (TCoE)
Fighting Style;Style de combat;capacité
Figurine of Wondrous Power;Figurine merveilleuse;
Find Familiar;Appel de familier;
Find Greater Steed;Appel de destrier supérieur (XGtE);
Find Steed;Appel de destrier;
Find the Path;Sens de l'orientation / Orientation;
Find Traps;Sens des pièges / Détection des pièges;
finesse;finesse;propriété
Finger of Death;Doigt de mort;
fire;feu;type de dégâts
Fire Bolt;Trait de feu;
Fire Elemental;Élémentaire du feu;
Fire Giant;Géant du feu;
Fire Shield;Bouclier de feu;
Fire Snake;Serpent de feu;
Fire Storm;Tempête de feu;
Fireball;Boule de feu;
flail;fléau d'armes / fléau;arme
Flame Arrows;Flèches enflammées (XGtE);
Flame Blade;Lame de feu;
Flame Strike;Colonne de flamme;
Flame Tongue;Épée ardente;
Flames of Phlegethos;Flammes de Phlégéthos;don (XGtE)
Flameskull;Crânefeu;
Flaming Sphere;Sphère de feu;
flaw;défaut;
Fleet of Foot;Foulée légère;capacité (elfe)
Flesh Golem;Golem de chair;
Flesh to Stone;Pétrification;
Flint Rock;Rocher à silex;
Flumph;Flumph;
Flurry of Blows;Déluge de coups;capacité (moine)
Fly;Vol;
Flying Snake;Serpent volant;
Flying Sword;Épée volante;
Focused Conjuration;Invocation consciencieuse;capacité (magicien)
Foe Slayer;Tueur implacable;capacité (rôdeur)
Fog Cloud;Nappe de brouillard;
Folding Boat;Bateau pliable;
folk hero;héros du peuple;historique
Fomorian;Fomorien;
Font of Inspiration;Source d'inspiration;capacité (barde)
Font of Magic;Source de magie / Réserve arcanique;capacité (ensorceleur)
Forbiddance;Interdiction;
force;force;type de dégâts
Forcecage;Cage de force;
Foresight;Prémonition;
forest gnome;gnome des forêts;sous-race (gnome)
Forest of Wyrms;Forêt des dragons / Forêt des Vouivres;
Freedom of Movement;Liberté de mouvement;
Frenzy;Frénésie;capacité (barbare)
Friends;Amis / Faux amis;
frightened;effrayé;état
Frog;Grenouille;
Frost Brand;Fer gelé;
Frost Giant;Géant du givre;
Frostbite;Gelure (XGtE);
Galeb Duhr;Galeb duhr;
Gargantuan;Gigantesque (Gig);taille
Gargoyle;Gargouille;
Gas Spore;Spore gazeuse;
Gaseous Form;Forme gazeuse;
Gate;Portail;
Gauntlets of Ogre Power;Gantelets de puissance d'ogre;
Gaze of Two Minds;Perception transférée;manifestation occulte
Geas;Quête;
Gehenna;Géhenne;plan
Gelatinous Cube;Cube gélatineux;
Gem of Brightness;Gemme d'illumination;
Gem of Seeing;Gemme de vision;
Gentle Repose;Préservation des morts / Doux repos;
Ghast;Blême;
Ghost;Fantôme;
Ghostly Gaze;Regard fantomatique;manifestation occulte (XGtE)
Ghoul;Goule;
Giant;géant;langue
giant;géant;type de créature
Giant Ape;Singe géant;
Giant Badger;Blaireau géant;
Giant Bat;Chauve-souris géante;
Giant Boar;Sanglier géant;
Giant Centipede;Mille-pattes géant;
Giant Constrictor Snake;Serpent constricteur géant;
Giant Crab;Crabe géant;
Giant Crocodile;Crocodile géant;
Giant Eagle;Aigle géant;
Giant Elk;Élan géant;
Giant Fire Beetle;Scarabée de feu géant;
Giant Frog;Grenouille géante;
Giant Goat;Chèvre géante;
Giant Hyena;Hyène géante;
Giant Insect;Insecte géant;
Giant Lizard;Lézard géant;
Giant Octopus;Pieuvre géante;
Giant Owl;Chouette géante;
Giant Poisonous Snake;Serpent venimeux géant;
Giant Rat;Rat géant;
Giant Scorpion;Scorpion géant;
Giant Sea Horse;Hippocampe géant;
Giant Shark;Requin géant;
Giant Slayer;Tueuse de géants;
Giant Spider;Araignée géante;
Giant Toad;Crapaud géant;
Giant Vulture;Vautour géant;
Giant Wasp;Guêpe géante;
Giant Weasel;Belette géante;
Giant Wolf Spider;Araignée-loup géante;
Giant's Plain;Plaine du géant / Plaine des Géants;
Giant's Run Mountains;Montagnes du Pas de géant / Montagnes du Pas du géant;
Gibbering Mouther;Babélien;
Gift of the Depths;Don des profondeurs;manifestation occulte (XGtE)
Gift of the Ever-living Ones;Don des immortels;manifestation occulte (XGtE)
Gift of the Protectors;Don des protecteurs / Présent des sauveurs;manifestation occulte (TCoE)
Githyanki Knight;Githyanki, chevalier;
Githyanki Warrior;Githyanki, guerrier;
Githzerai Monk;Githzerai, moine;
Githzerai Zerth;Githzerai, zerth;
Glabrezu;Glabrezu;
Gladiator;Gladiateur;
gladiator;gladiateur;historique
glaive;coutille;arme
Glamoured Studded Leather;Armure de cuir clouté enchantée;
Glibness;Bagou;
Globe of Invulnerability;Globe d'invulnérabilité;
Gloves of Missile Snaring;Gants piégeurs de projectiles;
Gloves of Swimming and Climbing;Gants de nage et d'escalade;
Gloves of Thievery;Gants de chapardeur;
Glyph of Warding;Glyphe de protection / Glyphe de garde;
Gnoll;Gnoll;
Gnoll Fang of Yeenoghu;Gnoll, croc de Yeenoghu;
Gnoll Pack Lord;Gnoll, seigneur de meute / Chef de meute gnoll;
gnome;gnome;race
Gnome Cunning;Ruse gnome;capacité (gnome)
Gnomish;gnome;langue
Goading Attack;Provocation;manœuvre
Goat;Chèvre;
Goblin;Gobelin;
Goblin;gobelin;langue
Goblin Boss;Gobelin, chef;
Goggles of Night;Lunettes de nuit / Lunettes du nyctalope;
Gold Dragon;Dragon d'or;
gold piece (gp);pièce d'or (po);pièce
Gond;Gond;divinité
Goodberry;Baies nourricières;
Gorgon;Gorgone;
Goristro;Goristro;
grappled;agrippé;état
Grappler;Lutteur / Empoigneur;don
Grappling Strike;Frappe agrippante / Coup agrippant;manœuvre (TCoE)
Grasp of Hadar;Étreinte de Hadar;manifestation occulte (XGtE)
Grasping Vine;Liane avide;
Gray Ooze;Vase grise;
Gray Slaad;Slaad gris;
Grease;Graisse;
Great Old One, the;Le Grand Ancien;voie (occultiste)
Great Weapon Fighting;Arme à deux mains;style de combat
Great Weapon Master;Maître des armes à deux mains / Cogneur lourd;don
greataxe;hache à deux mains;arme
greatclub;massue;arme
Greater Invisibility;Invisibilité supérieure / Invisibilité suprême;
Greater Portent;Présage supérieur / Présage renforcé;capacité (magicien)
Greater Restoration;Restauration supérieure / Restauration suprême;
greatsword;épée à deux mains;arme
Green Dragon;Dragon vert;
Green Fields;Arpents verts / Champs verdoyants;
Green Hag;Guenaude verte;
Green Slaad;Slaad vert;
Green-Flame Blade;Lame aux flammes vertes / Lame des flammes vertes (TCoE);
Grell;Grell;
Greycloak Hills;Collines de grismanteau / Collines de Cape-Grise;
Greypeak Mountains;Pics gris / Montagnes de Grispic;
Grick;Grick;
Grick alpha;Grick dominant;
Griffon;Griffon;
Grim Harvest;Sinistre moisson;capacité (magicien)
Grimlock;Torve;
Guard;Garde;
Guardian Naga;Naga gardien;
Guardian of Faith;Gardien de la foi;
Guardian of Nature;Gardien de la nature (XGtE);
Guards and Wards;Protections et sceaux;
Guidance;Assistance;
Guided Strike;frappe guidée;capacité (clerc/conduit divin)
Guiding Bolt;Éclair traçant / Rayon traçant;
guild artisan;artisan de guilde;historique
Guild Membership;Membre de guilde;capacité (historique)
guild merchant;marchand de guilde / marchand de la guilde;historique
Gunner;Amateur d'armes à feu / Artilleur;don (TCoE)
Gust;Saute de vent (XGtE);
Gust of Wind;Bourrasque;
Gynosphinx;Gynosphinx;
Hades;Hadès;plan
Hail of Thorns;Grêle d'épines;
halberd;hallebarde;arme
half cover;abri partiel;
half plate;demi-plate;armure
half-elf;demi-elfe;race
Half-Ogre;Demi-ogre;
half-orc;demi-orc;race
Half-Red Dragon Veteran;Demi-dragon rouge, vétéran;
Halfling;halfelin;langue
halfling;halfelin;race
Halfling Nimbleness;Agilité halfeline;capacité (halfelin)
Hallow;Sanctification;
Hallucinatory Terrain;Terrain hallucinatoire;
Hammer of Thunderbolts;Marteau de tonnerre;
handaxe;hachette;arme
Harm;Contamination;
Harpers;Ménestrels;faction
Harpy;Harpie;
Haste;Hâte;
Hat of Disguise;Chapeau de déguisement;
Hawk;Faucon;
Headband of Intellect;Bandeau d'intelligence;
Heal;Guérison;
Healer;Soigneur;don
Healing Spirit;Esprit guérisseur (XGtE);
Healing Word;Mot de guérison;
Heat Metal;Métal brûlant;
Heavily Armored;Protection lourde;don
heavily obscured;visibilité nulle;
heavy;lourde;propriété
Heavy Armor Master;Maître des armures lourdes;don
Heightened Spell;sort intensifié;métamagie
Hell Hound;Chien de chasse infernal / Molosse infernal;
Hellish Rebuke;Représailles infernales;
Hellish Resistance;Résistance infernale;capacité (tieffelin)
Helm;Heaume;divinité
Helm of Brilliance;Heaume scintillant;
Helm of Comprehending Languages;Heaume de compréhension des langues;
Helm of Telepathy;Heaume de télépathie;
Helm of Teleportation;Heaume de téléportation;
Helmed Horror;Horreur casquée;
Help action;Aider;action
hermit;ermite;historique
Heroes' Feast;Festin des héros;
Heroism;Héroïsme;
Heward's Handy Haversack;Havresac magique d'Hévard;
Hex;Maléfice;
Hezrou;Hezrou;
hide;peaux;armure
Hide action;Se cacher;action
Hide in Plain Sight;Camouflage naturel;capacité (rôdeur)
high elf;haut-elfe;sous-race (elfe)
High Moor;Haute lande / Grand Marais;
hill dwarf;nain des collines;sous-race (nain)
Hill Giant;Géant des collines;
Hippogriff;Hippogriffe;
History;Histoire;compétence
Hobgoblin;Hobgobelin;
Hobgoblin Captain;Hobgobelin, capitaine;
Hobgoblin Warlord;Hobgobelin, seigneur de guerre;
Hold Monster;Immobilisation de monstre;
Hold Person;Immobilisation de personne;
Holy Aura;Aura sacrée;
Holy Avenger;Vengeresse sacrée;
Holy Nimbus;Nimbe sacré;capacité (paladin)
Holy Weapon;Arme sacrée (XGtE);
Homunculus;Homoncule;
Hook Horror;Horreur crochue;
Horn of Blasting;Cor de dévastation;
Horn of Valhalla;Cor du Valhalla;
Horned Devil;Diable cornu;
Horseshoes of a Zephyr;Fers de zéphyr / Fers du zéphyr;
Horseshoes of Speed;Fers de rapidité;
Hotnow Mount;Mont Chaudenow;
Huge;Très grande (TG);taille
human;humain;race
humanoid;humanoïde;type de créature
Hunger of Hadar;Voracité de Hadar;
Hunter;Chasseur;voie (rôdeur)
Hunter Shark;Requin-chasseur;
Hunter's Mark;Marque du chasseur;
Hunter's Prey;Proie du chasseur;capacité (rôdeur)
Hurl Through Hell;Traversée des enfers;capacité (occultiste)
Hydra;Hydre;
Hyena;Hyène;
Hypnotic Gaze;Regard hypnotique;capacité (magicien)
Hypnotic Pattern;Motif hypnotique;
Ice Devil;Diable gelé;
Ice Knife;Couteau de glace (XGtE);
Ice Mephit;Méphite gelé;
Ice Storm;Tempête de grêle;
ideal;idéal;
Identify;Identification;
Ignan;igné;langue
illusion;illusion;école de magie
Illusion Savant;Illusionniste érudit;capacité (magicien)
Illusory Dragon;Dragon illusoire (XGtE);
Illusory Reality;Réalité illusoire / Réalité chimérique;capacité (magicien)
Illusory Script;Texte illusoire;
Illusory Self;Double illusoire;capacité (magicien)
Ilmater;Ilmater;divinité
Immolation;Immolation / Immolation ardente (XGtE);
Immovable Rod;Sceptre inamovible;
Imp;Diablotin;
Impostor;Imposteur;capacité (roublard)
Imprisonment;Emprisonnement;
Improved Abjuration;Abjuration améliorée;capacité (magicien)
Improved Combat Superiority;Supériorité martiale améliorée;capacité (guerrier)
Improved Critical;Critique amélioré;capacité (guerrier)
Improved Divine Smite;Châtiment divin amélioré;capacité (paladin)
Improved Duplicity;Réplique améliorée;capacité (clerc)
Improved Flare;Illumination améliorée;capacité (clerc)
Improved Minor Illusion;Illusion mineure améliorée;capacité (magicien)
Improved Pact Weapon;Arme de pacte améliorée;manifestation occulte (XGtE)
Improved War Magic;Magie de guerre améliorée;capacité (guerrier)
improvised weapons;armes improvisées;propriété
incapacitated;incapable d'agir / neutralisé;état
Incendiary Cloud;Nuage incendiaire;
Indomitable;Inflexible;capacité (guerrier)
Indomitable Might;Puissance indomptable;capacité (barbare)
Infernal;infernal;langue
Infernal Calling;Assignation infernale (XGtE);
Infernal Constitution;Constitution infernale;don (XGtE)
Infernal Legacy;Ascendance infernale;capacité (tieffelin)
Infestation;Infestation (XGtE);
Infiltration Expertise;Expert en infiltration;capacité (roublard)
Inflict Wounds;Blessure;
Inner Planes;plans intérieurs;plan
Insect Plague;Fléau d'insectes;
Insight;Intuition;compétence
Inspiring Leader;Meneur exaltant / Figure de proue;don
Instinctive Charm;Charme instinctif / Détournement d'hostilité;capacité (magicien)
Instrument of the Bards;Instrument de barde;
Intellect Devourer;Dévoreur d'intellect;
Intellect Fortress;Forteresse d'intellect (TCoE);
Intelligence;Intelligence;caractéristique
Interception;Interception;style de combat (TCoE)
Intimidating Presence;Présence intimidante;capacité (barbare)
Intimidation;Intimidation;compétence
Inured to Undeath;Insensibilité à la non-vie;capacité (magicien)
Investigation;Investigation;compétence
Investiture of Flame;Sacre des flammes (XGtE);
Investiture of Ice;Sacre de la glace (XGtE);
Investiture of Stone;Sacre de la pierre (XGtE);
Investiture of Wind;Sacre du vent (XGtE);
Investment of the Chain Master;Engagement du maître des Chaînes;manifestation occulte (TCoE)
Invisibility;Invisibilité;
invisible;invisible;état
Invisible Stalker;Traqueur invisible;
Invoke Duplicity;invocation de réplique;capacité (clerc/conduit divin)
Invulnerability;Invulnérabilité (XGtE);
Ioun Stone;Pierre de Ioun;
Iron Bands of Bilarro;Liens de fer de Bilarro;
Iron Flask;Flasque de fer;
Iron Golem;Golem de fer;
Iron Keep;Forteresse de fer / Donjon de fer;
Jack of All Trades;Touche-à-tout;capacité (barde)
Jackal;Chacal;
Jackalwere;Garou-chacal;
javelin;javeline;arme
Javelin of Lightning;Javeline de foudre;
Jump;Saut;
Keen Mind;Esprit affûté;don
Keen Senses;Sens aiguisés;capacité (elfe)
Kelemvor;Kélemvor;divinité
Kenku;Kenku;
Keoghtom's Ointment;Baume de Keoghtom;
Ki;Ki;capacité (moine)
Ki-Empowered Strikes;Frappes de ki;capacité (moine)
Killer Whale;Épaulard;
Knight;Chevalier;
knight;chevalier;historique
Knock;Déblocage;
Know Your Enemy;Observation de l'ennemi;capacité (guerrier)
Knowledge domain;Domaine du Savoir;voie (clerc)
Knowledge of the Ages;savoir ancestral;capacité (clerc/conduit divin)
Kobold;Kobold;
Kraken;Kraken;
Kuo-toa;Kuo-toa;
Kuo-toa Archpriest;Kuo-toa, archiprêtre;
Kuo-toa Whip;kuo-toa, fouet;
Lamia;Lamie;
lance;lance d'arçon;arme
Lance of Lethargy;Lance de léthargie;manifestation occulte (XGtE)
Land's Stride;Foulée tellurique;capacité (druide, rôdeur)
Lantern of Revealing;Lanterne de révélation;
Large;Grande (G);taille
Lathander;Lathandre;divinité
Lay on Hands;Imposition des mains;capacité (paladin)
leather;cuir;armure
Legend Lore;Mythes et légendes;
Leira;Leira;divinité
Lemure;Lémure;
Leomund's Secret Chest;Coffre secret de Léomund;
Leomund's Tiny Hut;Petite hutte de Léomund;
Lesser Restoration;Restauration partielle;
Levitate;Lévitation;
Lich;Liche;
Life domaine;Domaine de la Vie;voie (clerc)
Life Transference;Transfert de vie (XGtE);
Lifedrinker;Buveuse de vie;manifestation occulte
Light;Lumière;
light;légère;propriété
Light domain;Domaine de la Lumière;voie (clerc)
light hammer;marteau léger;arme
lightfoot;pied-léger;sous-race (halfelin)
Lightly Armored;Protection légère;don
lightly obscured;visibilité réduite;
lightning;foudre;type de dégâts
Lightning Arrow;Flèche de foudre;
Lightning Bolt;Éclair;
Lightning Lure;Ferrage foudroyant / Ferrage fulgurant (TCoE);
Limbo;Limbo;plan
Linguist;Linguiste;don
Lion;Lion;
Lizard;Lézard;
Lizard King/Queen;Roi/Reine lézard;
Lizardfolk;Homme-lézard / Saurial;
Lizardfolk Shaman;Homme-lézard, chaman;
Lliira;Lliira;divinité
loading;chargement;propriété
Locate Animals or Plants;Localisation d'animaux ou de plantes;
Locate Creature;Localisation de créature;
Locate Object;Localisation d'objet;
long rest;repos long;
longbow;arc long;arme
Longstrider;Grande foulée;
longsword;épée longue;arme
Lord's Alliance;Alliance des seigneurs;faction
Loviatar;Loviatar;divinité
Luck Blade;Lame porte-bonheur;
Lucky;Chanceux;capacité (halfelin)
Lucky;Chanceux;don
Lunging Attack;Fente;manœuvre
Lurkwood;Bois Tapi / Rôdebois;
Luskan;Luskan;
mace;masse d'armes;arme
Mace of Disruption;Masse d'anéantissement;
Mace of Smiting;Masse destructrice;
Mace of Terror;Masse terrifiante;
Maddening Darkness;Ténèbres oppressantes (XGtE);
Maddening Hex;Maléfice accablant;manifestation occulte (XGtE)
Maelstrom;Maelström (XGtE);
Mage;Mage;
Mage Armor;Armure de mage / Armure du mage;
Mage Hand;Main de mage / Main du mage;
Mage Hand Legerdemain;Escamotage et main de mage / Passe-passe à distance;capacité (roublard)
Mage Slayer;Tueur de mages;don
Magic Circle;Cercle magique;
Magic Initiate;Initié à la magie;don
Magic Jar;Urne magique / Possession;
Magic Missile;Projectile magique;
Magic Mouth;Bouche magique;
Magic Stone;Pierre magique (XGtE);
Magic Weapon;Arme magique;
Magical Ambush;Embuscade magique;capacité (roublard)
Magical Secrets;Secrets magiques;capacité (barde)
Magma Mephit;Méphite magmatique;
Magmin;Magmatique;
Major Image;Image majeure;
Malar;Malar;divinité
Malleable Illusions;Illusions malléables;capacité (magicien)
Mammoth;Mammouth;
Manes;Mâne;
Maneuvering Attack;Manœuvre tactique;manœuvre
Maneuvers;Manœuvres;capacité (guerrier)
Manticore;Manticore;
Mantle of Spell Resistance;Manteau de résistance aux sorts;
Manual of Bodily Health;Manuel de vitalité;
Manual of Gainful Exercise;Manuel d'exercices physiques;
Manual of Golems;Manuel des golems;
Manual of Quickness of Action;Manuel de vivacité;
Marid;Maride;
Marilith;Marilith;
Mariner's Armor;Armure de matelot;
Martial Adept;Adepte martial;don
Martial archetype;Archétype martial;capacité (guerrier)
Martial Arts;Arts martiaux;capacité (moine)
martial weapons;armes de guerre;propriété
Mask;Mask;divinité
Mask of Many Faces;Mille visages;manifestation occulte
Mask of the Wild;Cachette naturelle;capacité (elfe)
Mass Cure Wounds;Soins de groupe;
Mass Heal;Guérison de groupe;
Mass Healing Word;Mot de guérison de groupe;
Mass Polymorph;Métamorphose de groupe (XGtE);
Mass Suggestion;Suggestion de groupe;
Master of Myriad Forms;Maître des formes;manifestation occulte
Master of Nature;Maître de la nature;capacité (clerc)
Master Transmuter;Maître transmutateur;capacité (magicien)
Mastiff;Molosse;
material component (M);composante matérielle (M);
Material Plane;plan matériel;plan
maul;maillet / maillet d'armes;arme
Maximilian's Earthen Grasp;Poigne terreuse de Maximilien (XGtE);
Maze;Dédale;
Mechanus;Méchanus;plan
Medallion of Thoughts;Médaillon des pensées;
Medicine;Médecine;compétence
Medium Armor Master;Maître des armures intermédiaires;don
Medusa;Méduse;
Meilikki;Mailikki;divinité
Meld into Stone;Fusion dans la pierre;
melee weapon attack;attaque au corps à corps avec une arme / attaque d'arme au corps à corps;
Melf's Acid Arrow;Flèche acide de Melf;
Melf's Minute Meteors;Minuscules météores de Melf (XGtE);
Menacing;Menaçant;capacité (demi-orc)
Menacing Attack;Attaque menaçante;manœuvre
Mending;Réparation;
Mental Prison;Prison mentale (XGtE);
Merfolk;Homme-poisstrigealasséen;
Merrow;Merrow;
Message;Message;
Metamagic;Métamagie;capacité (ensorceleur, occultiste)
Metamagic Adept;Adepte de métamagie;don (TCoE)
Meteor Swarm;Nuée de météores;
Mezzoloth;Mezzoloth;
Mighty Fortress;Forteresse majestueuse (XGtE);
Milil;Milil;divinité
Military Rank;Grade militaire;capacité (historique)
Mimic;Mimique;
Mind Blank;Esprit impénétrable;
Mind Flayer;Flagelleur mental;
Mind Sliver;Piqûre mentale (TCoE);
Mind Spike;Épine mentale (XGtE);
Mindless Rage;Rage aveugle;capacité (barbare)
Minion of Chaos;Sbires du chaos;manifestation occulte
Minor Alchemy;Alchimie mineure;capacité (magicien)
Minor Conjuration;Invocation mineure / Menue invocation;capacité (magicien)
Minor Illusion;Illusion mineure;
Minotaur;Minotaure;
Minotaur Skeleton;Squelette de minotaure;
Mirage Arcane;Mirage;
Mire the Mind;Lenteur de l'esprit / Avachissement;manifestation occulte
Mirror Image;Image miroir;
Mirror of Life Trapping;Miroir d'emprisonnement;
Mislead;Double illusoire;
Misty Escape;Échappatoire brumeuse;capacité (occultiste)
Misty Step;Foulée brumeuse;
Misty Visions;Visions embrumées;manifestation occulte
Mithral Armor;Armure de mithral;
Mithral Hall;Castelmithral;
Mobile;Mobile;don
Moderately Armored;Protection intermédiaire;don
Modify Memory;Modification de mémoire;
Mold Earth;Façonnage de la terre (XGtE);
Monastic Tradition;Tradition monastique;capacité (moine)
monk;moine;classe
Monodrone;Monodrone;
monstrosity;monstruosité;type de créature
Moonbeam;Rayon de lune;
Moonblade;Lamelune;
Mordenkainen's Faithful Hound;Chien de garde de Mordenkainen;
Mordenkainen's Magnificent Mansion;Manoir somptueux de Mordenkainen;
Mordenkainen's Private Sanctum;Sanctuaire privé de Mordenkainen;
Mordenkainen's Sword;Épée de Mordenkainen;
morningstar;morgenstern;arme
Mount Celestia;Mont Céleste;plan
Mount Hotenow;Mont Chaudenow;
mountain dwarf;nain des montagnes;sous-race (nain)
Mounted Combatant;Combattant monté;don
Move Earth;Terraformage / Glissement de terrain;
Mud Mephit;Méphite boueux;
Mule;Mule;
Multiattack;Attaques multiples;capacité (rôdeur)
Mummy;Momie;
Mummy Lord;Seigneur momie / Momie auguste;
Myconid adult;Myconide, adulte;
Myconid Sovereign;Myconide, souverain;
Myconid sprout;Myconide, pousse / Pousse de myconide;
Myrkul;Myrkul;divinité
Mystic Arcanum;Arcanum mystique;capacité (occultiste)
Mystra;Mystra;divinité
Nalfeshnee;Nalfeshnie;
Natural Explorer;Explorateur-né;capacité (rôdeur)
Natural Illusionist;Illusionniste-né;capacité (gnome)
Natural Recovery;Récupération naturelle / Ressourcement;capacité (druide)
Naturally Stealthy;Discrétion naturelle;capacité (halfelin)
Nature;Nature;compétence
Nature domain;Domaine de la Nature;voie (clerc)
Nature's Sanctuary;Sanctuaire de dame Nature;capacité (druide)
Nature's Ward;Protégé de dame Nature;capacité (druide)
Nature's Wrath;courroux de la nature;capacité (paladin/conduit divin)
Necklace of Adaptation;Collier d'adaptation;
Necklace of Fireballs;Collier de boules de feu;
Necklace of Prayer Beads;Collier de perles de prière / Chapelet;
necromancy;nécromancie;école de magie
Necromancy Savant;Nécromancien érudit;capacité (magicien)
necrotic;nécrotique;type de dégâts
Needle Blight;Résinieux;
Negative Energy Flood;Déluge d'énergie négative (XGtE);
net;filet;arme
Neverwinter;Padhiver;
Night Hag;Guenaude nocturne;
Nightmare;Destrier noir;
Nine Hells;Neuf enfers;plan
Nine Lives Stealer;Voleuse des neuf vies / Voleuse de vie;
Noble;Noble;
noble;noble;historique
Nolzur's Marvelous Pigments;Pigments merveilleux de Nolzur;
Nondetection;Antidétection;
Nothic;Nothic;
Nycaloth;Nycaloth;
Nystul's Magic Aura;Aura magique de Nystul;
Oath of Devotion;Serment de Dévotion;voie (paladin)
Oath of the Ancients;Serment des Anciens;voie (paladin)
Oath of Vengeance;Serment de Vengeance;voie (paladin)
Oathbow;Arc du serment;
Observant;Observateur;don
Ochre Jelly;Gelée ocre;
Octopus;Pieuvre;
Oghma;Oghma;divinité
Ogre;Ogre;
Ogre Zombie;Zombi ogre;
Oil of Etherealness;Huile éthérée;
Oil of Sharpness;Huile d'affûtage;
Oil of Slipperiness;Huile d'insaisissabilité;
One with Shadows;Maître des ombres;manifestation occulte
Oni;Oni;
ooze;vase;type de créature
Open Hand Technique;Technique de la paume;capacité (moine)
Opportunist;Opportuniste;capacité (moine)
Orb of Dragonkind;Orbe des dragons;
Orc;Orc;
Orc;orc;langue
Orc Eye of Gruumsh;Orc, Œil de Gruumsh;
Orc War Chief;Orc, chef de guerre;
Orcish Fury;Fureur orc;don (XGtE)
Order of the Gauntlet;ordre du Gantelet;faction
Orog;Orog;
Otherworldly Leap;Saut d'Outremonde;manifestation occulte
Otherworldly patron;Patron d'Outremonde / Protecteur d'outre-monde;capacité (occultiste)
Otiluke's Freezing Sphere;Sphère glaciale d'Otiluke / Sphère glacée d'Otiluke;
Otiluke's Resilient Sphere;Sphère résiliente d'Otiluke;
Otto's Irresistible Dance;Danse irrésistible d'Otto;
Otyugh;Otyugh;
Outer Planes;plans extérieurs;plan
outlander;sauvageon;historique
Overchannel;Surcharge magique;capacité (magicien)
Owl;Chouette;
Owlbear;Ours-hibou / Hibours;
Pact Boon;Faveur de pacte / Pacte;capacité (occultiste)
Pact Magic;Magie de pacte;capacité (occultiste)
Pact of the Blade;Pacte de la lame;capacité (occultiste/pacte)
Pact of the Chain;Pacte de la chaîne;capacité (occultiste/pacte)
Pact of the Tome;Pacte du grimoire;capacité (occultiste/pacte)
padded;matelassée;armure
paladin;paladin;classe
Pandemonium;Pandémonium;plan
Panther;Panthère;
Paralyzed;paralysé;état
Parry;Parade;manœuvre
Pass without Trace;Passage sans trace;
Passwall;Passe-muraille;
Path of Berserker;Voie du berserker;voie (barbare)
Path of Totem Warrior;Voie du guerrier totem / Voie du guerrier totémique;voie (barbare)
Patient Defense;Défense patiente;capacité (moine)
Pearl of Power;Perle de pouvoir / Perle de thaumaturgie;
Peerless Skill;Compétence hors-pair;capacité (barde)
Pegasus;Pégase;
Pentadrone;Pentadrone;
Perception;Perception;compétence
Perfect Self;Perfection de l'être / Perfection;capacité (moine)
Performance;Représentation;compétence
Periapt of Health;Amulette de santé;
Periapt of Proof against Poison;Amulette antidote;
Periapt of Wound Closure;Amulette de cicatrisation;
Persistent Rage;Rage persistante;capacité (barbare)
Persuasion;Persuasion;compétence
Peryton;Péryton;
Petrified;pétrifié;état
Phantasmal Force;Force fantasmagorique;
Phantasmal Killer;Assassin imaginaire;
Phantom Steed;Monture fantôme;
Phase Spider;Araignée de phase;
Philter of Love;Philtre d'amour;
Piercer;Perceur / Perforateur;
Piercer;Empaleur / Perforateur;don (TCoE)
piercing;perforant;type de dégâts
pike;pique;arme
Pipes of Haunting;Flûte terrifiante;
Pipes of the Sewers;Flûte des égouts;
pirate;pirate;historique
Pit Fiend;Diantrefosse;
Pixie;Pixie;
Planar Ally;Allié planaire;
Planar Binding;Contrat / Entrave planaire;
Plane Shift;Changement de plan;
Planetar;Planétar;
plant;plante;type de créature
Plant Growth;Croissance végétale;
plate;harnois;armure
Plate Armor of Etherealness;Harnois éthéré;
platinum piece (pp);pièce de platine ( pp);pièce
Plesiosaurus;Plésiosaure;
